time,Air Temperature (deg_C),Sea Surface Temperature (deg_C),Relative Wind Speed (m s-1),year_month,Wave Height Average (m),Wave Height Maximum (m),Wave Height Significant (m),Wave Period Average (sec)
7/1/16 0:00,14.18,12.45,5.52,2016-07,0.75,1.72,1.13,4.6
7/1/16 1:00,14.22,12.28,5.72,2016-07,0.82,1.82,1.24,4.9
7/1/16 2:00,14.14,12.22,6.7,2016-07,0.75,1.96,1.14,4.6
7/1/16 3:00,14.11,12.15,6.89,2016-07,0.91,2.1,1.39,4.5
7/1/16 4:00,13.93,12.09,6.29,2016-07,0.89,2.2,1.35,4.4
7/1/16 5:00,13.9,11.91,6.37,2016-07,0.92,2.33,1.43,4.4
7/1/16 6:00,13.97,11.89,5.93,2016-07,0.79,1.96,1.21,4.3
7/1/16 7:00,14.02,12.06,5.73,2016-07,0.82,1.87,1.24,4.4
7/1/16 8:00,13.89,12.11,4.71,2016-07,0.81,2.11,1.2,4.5
7/1/16 9:00,13.89,12.32,4.94,2016-07,0.83,1.86,1.23,4.6
7/1/16 10:00,14.15,12.44,5.82,2016-07,0.7,1.55,1.05,4.5
7/1/16 11:00,13.87,12.52,5.1,2016-07,0.7,1.56,1.06,4.6
7/1/16 12:00,14.12,12.51,6.16,2016-07,0.68,1.47,1.03,4.4
7/1/16 13:00,14.01,12.53,5.31,2016-07,0.64,1.6,0.94,4.6
7/1/16 14:00,13.83,12.55,4.41,2016-07,0.62,1.51,0.92,4.7
7/1/16 15:00,13.79,12.58,3.45,2016-07,0.6,1.41,0.92,4.6
7/1/16 16:00,13.73,12.63,2.75,2016-07,0.52,1.15,0.77,4.3
7/1/16 17:00,13.8,12.77,2.06,2016-07,0.54,1.07,0.81,4.5
7/1/16 18:00,14.14,12.95,3.09,2016-07,0.59,1.29,0.9,4.7
7/1/16 19:00,14.22,13.18,2.52,2016-07,0.54,1.72,0.85,4.8
7/1/16 20:00,14.42,13.44,2.58,2016-07,0.54,1.49,0.8,4.8
7/1/16 21:00,14.53,13.5,4.43,2016-07,0.48,1.16,0.72,4.9
7/1/16 22:00,14.39,13.61,3.36,2016-07,0.46,0.96,0.68,5.1
7/1/16 23:00,14.48,13.34,3.9,2016-07,0.46,1.31,0.71,5.3
7/2/16 0:00,14.66,13.13,3.64,2016-07,0.44,1.03,0.66,5.2
7/2/16 1:00,14.82,13.28,2.86,2016-07,0.45,0.94,0.7,5.7
7/2/16 2:00,14.72,13.02,3.84,2016-07,0.47,1.54,0.75,5.7
7/2/16 3:00,14.52,12.72,4.99,2016-07,0.49,1.15,0.75,5.1
7/2/16 4:00,14.39,12.49,4.86,2016-07,0.46,0.99,0.69,4.5
7/2/16 5:00,14.43,12.51,5.54,2016-07,0.5,1.42,0.78,4.9
7/2/16 6:00,14.23,12.01,5.27,2016-07,0.63,1.44,0.95,4.8
7/2/16 7:00,14.32,11.94,5.31,2016-07,0.66,1.86,1.01,4.7
7/2/16 8:00,14.27,12.15,5.19,2016-07,0.8,1.93,1.23,4.9
7/2/16 9:00,14.23,12.18,5.05,2016-07,0.83,1.86,1.25,4.9
7/2/16 10:00,14.32,12.74,5.99,2016-07,0.91,2.76,1.43,5.2
7/2/16 11:00,14.39,13.1,6.25,2016-07,1.03,2.35,1.57,5.6
7/2/16 12:00,14.24,13.21,5.69,2016-07,0.98,2.29,1.5,5.5
7/2/16 13:00,14.07,13.11,5.71,2016-07,1.08,2.93,1.66,5.9
7/2/16 14:00,14.11,12.95,4.89,2016-07,1.01,2.44,1.58,5.7
